id,heuristic,mutation,indexing,hof,for_hof,helpers
1_0,-2,0,3,1,0,0
1_13,-1,0,3,1,1,0
1_15,1,0,2,2,1,0
1_16,-1,0,2,1,0,0
1_19,1,0,2,2,1,0
3_1,0,0,2,1,1,0
3_10,0,0,2,1,1,0
3_12,0,0,2,1,1,0
3_15,0,0,2,1,1,0
3_17,0,0,2,1,1,0
4_2,0,0,2,1,1,0
4_4,0,0,2,1,1,0
4_7,0,0,2,1,1,0
4_8,0,0,2,1,1,0
4_9,0,0,2,1,1,0
4_10,0,0,2,1,1,0
4_11,0,0,2,1,1,0
4_12,0,0,2,1,1,0
4_13,1,0,2,1,1,1
4_14,1,0,0,1,0,0
4_15,0,0,2,1,1,0
4_16,0,0,2,1,1,0
4_17,0,0,2,1,1,0
4_18,0,0,2,1,1,0
4_19,0,0,2,1,1,0
4_20,0,0,2,1,1,0
4_21,0,0,2,1,1,0
4_23,1,0,2,3,0,0
4_24,0,0,2,1,1,0
8_6,-1,0,3,1,1,0
8_15,0,0,2,1,1,0
8_16,0,0,2,1,1,0
8_22,1,0,2,2,1,0
9_1,0,0,2,1,1,0
9_3,0,0,2,1,1,0
9_4,2,0,1,1,1,1
9_6,1,0,2,1,1,1
9_7,1,0,2,1,1,1
9_8,0,0,2,1,1,0
9_9,1,0,2,1,1,1
9_12,1,0,2,1,1,1
9_13,1,0,0,1,0,0
9_15,2,0,2,1,1,2
9_16,0,0,2,1,1,0
9_17,3,0,0,3,0,0
9_18,1,0,2,1,1,1
9_19,2,0,0,1,0,1
9_20,0,0,3,1,1,1
9_22,1,0,2,1,1,1
9_23,2,0,2,2,1,1
